id	quiz	userid	attempt	uniqueid	layout	currentpage	preview	state	timestart	timefinish	timemodified	timemodifiedoffline	timecheckstate	sumgrades
86	2	72	3	86	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434784327	1434784458	1434784458	0	0	8.00000
87	2	49	2	87	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434899368	1434899530	1434899530	0	0	6.00000
88	2	49	3	88	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434899603	1434899941	1434899941	0	0	7.00000
89	2	60	1	89	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434336670	1435074710	1435074710	0	0	5.00000
90	2	60	2	90	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435074802	1435074891	1435074891	0	0	8.00000
91	2	37	1	91	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434131633	1435175077	1435175077	0	0	8.00000
92	2	34	1	92	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434750845	1435363760	1435363760	0	0	5.00000
93	2	26	1	93	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1434224536	0	1435374063	0	0	NULL
94	2	23	1	94	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1434392635	0	1435374063	0	0	NULL
95	2	28	1	95	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1434409196	0	1435374063	0	0	NULL
96	2	45	1	96	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435086594	1435087317	1435087317	0	0	10.00000
97	2	46	1	97	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435157386	1435188886	1435188886	0	0	4.00000
98	2	46	2	98	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435189069	1435189281	1435189281	0	0	6.00000
99	2	46	3	99	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435189342	1435189761	1435189761	0	0	10.00000
100	2	43	2	100	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435255600	1435255709	1435255709	0	0	9.00000
101	2	75	1	101	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435272418	1435272713	1435272713	0	0	2.00000
102	2	79	1	102	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435283706	1435285631	1435285631	0	0	5.00000
103	2	79	2	103	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435286499	1435286877	1435286877	0	0	10.00000
104	2	34	2	104	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1435364271	1435364704	1435364704	0	0	7.00000
105	2	76	1	105	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1435186857	0	1435374063	0	0	NULL
106	2	19	1	106	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1435104116	0	1435374063	0	0	NULL
107	2	48	1	107	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1435179352	0	1435374063	0	0	NULL
