Tables_in_moodle	Table_type
mdl_workshop_comments_old	BASE TABLE
mdl_workshop_elements_old	BASE TABLE
mdl_workshop_grades	BASE TABLE
mdl_workshop_grades_old	BASE TABLE
mdl_workshop_old	BASE TABLE
mdl_workshop_rubrics_old	BASE TABLE
mdl_workshop_stockcomments_old	BASE TABLE
mdl_workshop_submissions	BASE TABLE
mdl_workshop_submissions_old	BASE TABLE
mdl_workshopallocation_scheduled	BASE TABLE
mdl_workshopeval_best_settings	BASE TABLE
mdl_workshopform_accumulative	BASE TABLE
mdl_workshopform_comments	BASE TABLE
mdl_workshopform_numerrors	BASE TABLE
mdl_workshopform_numerrors_map	BASE TABLE
mdl_workshopform_rubric	BASE TABLE
mdl_workshopform_rubric_config	BASE TABLE
mdl_workshopform_rubric_levels	BASE TABLE
